id,distinct_feature,theta_deg,z_mm,scan_axis,raw_width_mm,exact_chord_mm,bay_depth_mm,mouth_width_mm,opening_at_tip_plus_0p10_mm,depth_to_0p30_opening_mm,classification
c01,G01,295.4295780158651,0.0,x,0.09968083141414263,0.05027077099868373,0.08800000000000001,0.247750827454416,,,shallow external cusp
c03,G02,221.1561821089064,0.0,x,0.2990424942424279,0.28898287685231333,0.098,0.39448931646933016,,0.060000000000000005,shallow external cusp
c04,G03,45.0347342351832,0.0,x,0.09968083141414263,0.1191571299220502,0.056,0.1624592057969958,,,shallow external cusp
c05,G04,47.30463032643472,0.0,x,0.09968083141414263,0.09541491488443261,0.14200000000000002,0.4374766622694434,0.25309132022881986,0.11599999999999999,open bay with short terminal narrowing
c06,G05,126.42850815591291,0.0,x,0.09968083141414263,0.10797455360048602,0.086,0.1941135191831952,,,shallow external cusp
c07,G06,69.7522788058525,0.0,x,0.09968083141414263,0.16497421566668452,0.194,0.8259178037296522,0.37036783199773005,0.084,open bay with short terminal narrowing
c09,G07,198.79015774310696,0.0,y,0.09983028509677985,0.08689324254175293,0.1,0.3377533193574293,,0.088,shallow external cusp
c11,G08,180.07098542212884,0.0,y,0.2994908552903396,0.3544746847659539,,,2.741956467914597,0.002,bore tangency
c13,G09,224.72560953053468,0.0,y,0.09983028509677985,0.05776960459427516,0.066,0.14743421869463272,,,shallow external cusp
c14,G10,117.15003522511655,0.0,y,0.09983028509677985,0.12222255748139595,0.026000000000000002,0.22317411546534457,,,shallow external cusp
c15,G11,315.87177533552904,0.0,y,0.1996605701935597,0.23331059509968688,0.116,0.3835239917176413,0.3506523558678612,0.08,open bay with short terminal narrowing
c16,G12,328.37734934964567,0.0,y,0.09983028509677985,0.10443342932744054,0.192,0.6927606077624041,0.3335738045097909,0.088,open bay with short terminal narrowing
c17,G13,342.2016176412028,0.0,y,0.2994908552903396,0.258969062015342,0.322,1.2062995290107135,0.36314366320336794,0.084,open bay with short terminal narrowing
c20,G14,103.13316227217531,5.690816402435303,x,0.09968083141414263,0.11478220446665177,0.034,0.23650829890157443,,,shallow external cusp
f02,G15,306.94324881070713,0.0,x,0.14966405633527433,0.16394772562399462,0.07400000000000001,0.1785126869900452,,,shallow external cusp
f03,G02,221.41170495733505,0.0,x,0.14966405633527433,0.15781198643398134,0.098,0.39429477681493175,,0.060000000000000005,shallow external cusp
f04,G16,319.1983444529958,0.0,x,0.07483202816763716,0.10851725253638903,0.058,0.14423331021222596,,,shallow external cusp
f05,G17,149.8893209464279,0.0,x,0.07483202816763716,0.09002009157794369,0.024,0.14221115615928992,,,shallow external cusp
f06,G18,31.398645326955403,0.0,x,0.14966405633527433,0.15395117449591492,0.038,0.2760497973211614,,,shallow external cusp
f07,G04,47.319713246528046,0.0,x,0.14966405633527433,0.13311067085060155,0.14400000000000002,0.45241436882089126,0.2517485358941581,0.116,open bay with short terminal narrowing
f08,G05,126.10039961147524,0.0,x,0.14966405633527433,0.1578552005992368,0.08600000000000001,0.19374980557814103,,,shallow external cusp
f09,G19,116.10579201802007,0.0,x,0.14966405633527433,0.14041636301099858,0.064,0.27485416416485686,,,shallow external cusp
f10,G06,69.76604984242194,0.0,x,0.29932811267054865,0.2721432789189934,0.194,0.826292959361213,0.37069926172537904,0.08399999999999999,open bay with short terminal narrowing
f12,G07,198.50556007973256,0.0,y,0.24333631992340088,0.20943470922377427,0.1,0.3381974653975746,,0.08800000000000001,shallow external cusp
f13,G20,146.55342679561113,0.0,y,0.16222421328226724,0.18410278058158427,0.394,1.7389333415257269,0.2962091998963528,0.10200000000000001,open bay with short terminal narrowing
f15,G21,121.04287023326947,0.0,y,0.16222421328226724,0.13067022818343382,0.034,1.576035077912433,,0.016,shallow external cusp
f17,G22,303.38043788574106,0.0,y,0.24333631992340088,0.21593501913860297,0.058,0.3026651433026947,,0.056,shallow external cusp
f18,G11,315.621887431054,0.0,y,0.16222421328226724,0.1745239874733545,0.116,0.38253043343806115,0.3496590725116929,0.08,open bay with short terminal narrowing
f19,G12,328.5370769635828,0.0,y,0.16222421328226724,0.13810570471976275,0.192,0.6954315530212438,0.333919800126501,0.088,open bay with short terminal narrowing
f20,G13,342.25095622003903,0.0,y,0.16222421328226724,0.2086928671724993,0.322,1.2089067843263317,0.3647561101612197,0.084,open bay with short terminal narrowing
f21,G23,16.38608008205934,0.0,y,0.16222421328226724,0.10685265093297855,0.132,0.6772786189167178,0.6659698139745477,0.04,open bay with short terminal narrowing
